,eig,first,prob,second,third
80,0.06666463216145833,3,0.0,2,3
81,0.06666463216145833,3,0.0,2,4
82,0.06666463216145833,3,0.0,2,5
83,0.06666463216145833,3,0.0,2,6
84,0.0,3,0.0,3,1
85,0.06666463216145833,3,0.0,3,2
86,0.0,3,0.0,3,3
87,0.06666463216145833,3,0.0,3,4
88,0.0,3,0.0,3,5
89,0.0,3,0.0,3,6
90,0.0,3,0.0,4,1
91,0.06666463216145833,3,0.0,4,2
92,0.0,3,0.0,4,3
93,0.06666463216145833,3,0.0,4,4
94,0.0,3,0.0,4,5
95,0.0,3,0.0,4,6
96,0.06666463216145833,3,0.0,5,1
97,0.06666463216145833,3,0.0,5,2
98,0.06666463216145833,3,0.0,5,3
99,0.0,3,0.0,5,4
100,0.06666463216145833,3,0.0,5,5
101,0.06666463216145833,3,0.0,5,6
102,0.0,3,0.0,6,1
103,0.06666463216145833,3,0.0,6,2
104,0.0,3,0.0,6,3
105,0.06666463216145833,3,0.0,6,4
106,0.0,3,0.0,6,5
107,0.0,3,0.0,6,6
108,0.06666463216145833,4,0.0,1,1
109,0.06666463216145833,4,0.0,1,2
110,0.06666463216145833,4,0.0,1,3
111,0.0,4,0.0,1,4
112,0.06666463216145833,4,0.0,1,5
113,0.06666463216145833,4,0.0,1,6
114,0.0,4,0.0,2,1
115,0.06666463216145833,4,0.0,2,2
116,0.0,4,0.0,2,3
117,0.06666463216145833,4,0.0,2,4
118,0.0,4,0.0,2,5
119,0.0,4,0.0,2,6
120,0.06666463216145833,4,0.0,3,1
121,0.06666463216145833,4,0.0,3,2
122,0.06666463216145833,4,0.0,3,3
123,0.0,4,0.0,3,4
124,0.06666463216145833,4,0.0,3,5
125,0.06666463216145833,4,0.0,3,6
126,0.06666463216145833,4,0.0,4,1
127,0.06666463216145833,4,0.0,4,2
128,0.06666463216145833,4,0.0,4,3
129,0.0,4,0.0,4,4
130,0.06666463216145833,4,0.0,4,5
131,0.06666463216145833,4,0.0,4,6
132,0.06666463216145833,4,0.0,5,1
133,0.06666463216145833,4,0.5,5,2
134,0.06666463216145833,4,0.0,5,3
135,0.06666463216145833,4,0.0,5,4
136,0.06666463216145833,4,0.0,5,5
137,0.06666463216145833,4,0.0,5,6
138,0.06666463216145833,4,0.0,6,1
139,0.06666463216145833,4,0.0,6,2
140,0.06666463216145833,4,0.0,6,3
141,0.0,4,0.0,6,4
142,0.06666463216145833,4,0.0,6,5
143,0.06666463216145833,4,0.0,6,6
144,0.06666463216145833,5,0.0,1,1
145,0.0,5,0.0,1,2
146,0.06666463216145833,5,0.0,1,3
147,0.06666463216145833,5,0.0,1,4
148,0.06666463216145833,5,0.0,1,5
149,0.06666463216145833,5,0.0,1,6
150,0.06666463216145833,5,0.0,2,1
151,0.06666463216145833,5,0.0,2,2
152,0.06666463216145833,5,0.0,2,3
153,0.06666463216145833,5,0.5,2,4
154,0.06666463216145833,5,0.0,2,5
155,0.06666463216145833,5,0.0,2,6
156,0.06666463216145833,5,0.0,3,1
157,0.0,5,0.0,3,2
158,0.06666463216145833,5,0.0,3,3
159,0.06666463216145833,5,0.0,3,4
160,0.06666463216145833,5,0.0,3,5
161,0.06666463216145833,5,0.0,3,6
162,0.06666463216145833,5,0.0,4,1
163,0.0,5,0.0,4,2
164,0.06666463216145833,5,0.0,4,3
165,0.06666463216145833,5,0.0,4,4
166,0.06666463216145833,5,0.0,4,5
167,0.06666463216145833,5,0.0,4,6
168,0.0,5,0.0,5,1
169,0.06666463216145833,5,0.0,5,2
170,0.0,5,0.0,5,3
171,0.06666463216145833,5,0.0,5,4
172,0.0,5,0.0,5,5
173,0.0,5,0.0,5,6
174,0.06666463216145833,5,0.0,6,1
175,0.0,5,0.0,6,2
176,0.06666463216145833,5,0.0,6,3
177,0.06666463216145833,5,0.0,6,4
178,0.06666463216145833,5,0.0,6,5
179,0.06666463216145833,5,0.0,6,6
180,0.0,6,0.0,1,1
181,0.06666463216145833,6,0.0,1,2
182,0.0,6,0.0,1,3
183,0.06666463216145833,6,0.0,1,4
184,0.0,6,0.0,1,5
